id_szkoly,id_ucznia,pomiar,grupa,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28,mat_29,mat_30,mat_31,mat_33,mat_34,mat_35,mat_36,mat_37,mat_38,mat_39,mat_40,mat_41,mat_42,mat_43,mat_44,mat_45,mat_46,mat_47,mat_32,mat_48
120,2205214,2,0,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,,,,,,,,,1,1,1,1,0,0,1,,1
120,2205306,2,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,,,,,,,,,0,1,1,0,1,1,1,,1
120,2205278,1,0,,,,,,,,,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,0,
120,2205382,2,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,,,,,,,,,0,1,0,0,0,1,0,,0
120,2205250,1,0,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,0,1,1,1,1,1,,,,,,,,1,
121,2203618,2,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,1,,,,,,,,,1,0,1,0,0,1,0,,0
121,2203632,1,0,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,0,1,1,0,1,1,1,0,,,,,,,,1,
121,2203696,1,0,,,,,,,,,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,,,,,,,,,0,0,0,0,1,1,0,0,,,,,,,,1,
121,2203652,1,0,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,0,1,1,0,1,1,1,0,,,,,,,,1,
121,2203680,1,0,,,,,,,,,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,,,,,,,,,0,1,1,0,1,0,0,0,,,,,,,,1,
121,2203652,2,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,0,,,,,,,,,1,1,1,0,0,0,1,,1
121,2203666,1,0,,,,,,,,,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,,,,,,,,,0,1,1,0,1,0,1,0,,,,,,,,0,
121,2203696,2,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,1,,,,,,,,,0,1,1,1,1,0,1,,1
121,2203618,1,0,,,,,,,,,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,0,1,1,1,0,0,1,1,,,,,,,,1,
121,2203680,2,0,1,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,,,,,,,,,1,1,0,0,0,1,0,,1
121,2203632,2,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,,,,,,,,,1,1,1,1,1,0,0,,1
121,2203666,2,0,1,1,1,0,1,1,1,0,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,,,,,,,,,1,1,0,0,1,1,0,,0
129,2205091,2,1,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,1,1,0,1,0,0,1,1,,,,,,,,,0,1,0,0,0,0,1,,0
